URL,Name,Price,Bread Crumbs,Category,Images,Sizes Available,Title of Description,General Description,General Description Itemized,Rating
https://shop.adidas.jp/products/IE3176/,DYZ サンバ / DYZ SAMBA,"38,500",トップ / ユニセックス / シューズ・靴 / スニーカー / オリジナルス / サンバ / DYZ サンバ / DYZ SAMBA, オリジナルス,"https://shop.adidas.jp/photo/IE/IE3176/z-IE3176-standard-side_lateral_center_view-B3rqmh8oy0.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg",,アイコニックなシューズを自分らしく履きこなそう。,街をブラブラ歩くときも、夜通しダンスするときにも重宝するアディダス シューズ。元々は1950年代にインドアサッカーシューズとしてデザインされたサンバ。そのレガシーはスポーツの枠を超え、カルチャーに浸透していった。滑らかなレザーアッパーに、凍てつくピッチでも活躍した補強を施したつま先とガムソールを合わせたサンバのスタイルと機能性は、時代を超えて愛され続けてきた。70年の歴史を持つ一足に足を滑り込ませ、自分だけのストーリーを紡ごう。,"レギュラーフィット, シューレースクロージャー, レザーアッパー, テキスタイルライニング, ラバーアウトソール",
https://shop.adidas.jp/products/IE6002/,Star Wars × アディダス スタンスミス NANZUKA / Star Wars × adidas Stan Smith NANZUKA,"20,900",トップ / ユニセックス / シューズ・靴 / スニーカー / オリジナルス / スタンスミス / スターウォーズ / Star Wars × アディダス スタンスミス NANZUKA / Star Wars × adidas Stan Smith NANZUKA, オリジナルス,"https://shop.adidas.jp/photo/IE/IE6002/z-IE6002-standard-side_lateral_center_view-uf5dUr8Rib.jpg, https://shop.adidas.jp/photo/IE/IE6002/z-IE6002-standard-top_portrait_view-8M9NXTCKtX.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","22.0cm, 22.5cm, 23.0cm, 23.5cm, 24.0cm, 24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm",リサイクル素材を一部使用した、Star Warsバージョンのスタンスミス。,"アディダスと同様に、クリエイティビティを讃えることを軸に、アートとカルチャーの融合を図る東京のコンテンポラリーアートギャラリー、NANZUKA。シューズが生まれるきっかけになったレジェンド的テニスプレーヤーに敬意を表したモデルに、NANZUKAの姿勢を反映させたデザインで、ユーザーをはるか彼方の銀河系へと誘う。ストライドに""フォース""のエネルギーをもたらすStar Warsのさりげないグラフィックと、どこまでも歩けるようなソフトなクッション性が感じられる、レザーライニングが特徴。 ","レギュラーフィット, シューレースクロージャー, レザーアッパー, レザーライニング, ラバーアウトソール, 商標と著作権はLucasfilm Ltd.にあります。無断複製を禁じます。, リサイクル素材を20%以上使用",
https://shop.adidas.jp/products/IE6000/,Star Wars × adidas NMD_R1 NANZUKA,"20,900",トップ / ユニセックス / シューズ・靴 / スニーカー / オリジナルス / ディズニー / スターウォーズ / Star Wars × adidas NMD_R1 NANZUKA, オリジナルス,"https://shop.adidas.jp/photo/IE/IE6000/z-IE6000-standard-side_lateral_center_view-ofqsjSb3bf.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","22.0cm, 22.5cm, 23.0cm, 23.5cm, 24.0cm, 24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm",NANZUKAとのコラボレーションから生まれた、選ばれし者のためのシューズ。,Star Warsのフォースを、ランニングの力に。カルチャーとアートが交差する、東京のコンテンポラリーアートギャラリー、NANZUKAとのコラボレーションから生まれたNMD_R1。力強く前進するのをアシストする快適なクッション性をもたらすBOOSTと、同系色を重ねたダース・ベイダーがモチーフのアッパーを組み合わせた、最果ての銀河系の物語のファンであることをさりげなくアピールできるデザイン。80年代のアイコンを象徴する成型ミッドソールプラグと、目標に向かって突き進む足元にサポート力とトラクションをもたらすラバーアウトソールを搭載。着こなしに合わせて好きな色を選べる2組のシューレースと、ルックスのアクセントになる限定キーチェーンが付いている。,"レギュラーフィット, シューレースクロージャー, テキスタイルアッパー, BOOSTミッドソール, テキスタイルライニング, ラバーアウトソール",
https://shop.adidas.jp/products/IF9249/,Star Wars ×アディダス スーパースター XLG NANZUKA /Star Wars × adidas Superstar XLG NANZUKA,"20,900",トップ / ユニセックス / シューズ・靴 / スニーカー / オリジナルス / スーパースター / スターウォーズ / Star Wars ×アディダス スーパースター XLG NANZUKA /Star Wars × adidas Superstar XLG NANZUKA, オリジナルス,"https://shop.adidas.jp/photo/IF/IF9249/z-IF9249-standard-side_lateral_center_view-XrXkdkEZ8a.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","22.0cm, 22.5cm, 23.0cm, 23.5cm, 24.0cm, 24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm",Star WarsのR2-D2とC-3POにオマージュを捧げる、オリジナルアート入りアイコンスニーカー。,"この斬新なプロポーションとオリジナルのアートワークを纏ったスーパースターが、遥か彼方の銀河系へ誘う。これは、カルチャーとクリエイティビティが交錯する東京のコンテンポラリーアートギャラリー、NANZUKAとのコラボレーションバージョン。永遠のクラシックと言われる所以であるスーパースターのクラシックなディテールはそのままに、アーティスト、佃弘樹が手掛けたR2-D2とC-3POがプリントされた、限定モデル。合成素材のアッパーとテキスタイルライニングの組み合わせが、快適な履き心地を実現。そしてグリップ力に優れたラバーアウトソールが確かな足取りをサポート。50年以上にわたり、コートの内外でレジェンドたちに愛されてきたアディダス スーパースター。今シーズンは、ユーザーに""フォース""を与えるべく宇宙に旅立ったモデルをリリース。　※「Super Star」は、株式会社ムーンスターの日本における登録商標です。","レギュラーフィット, シューレースクロージャー, 合成アッパー, テキスタイルライニング, ラバーアウトソール, 商標と著作権はLucasfilm Ltd.にあります。無断複製を禁じます。",
https://shop.adidas.jp/products/IV9471/,Star Wars × adidas NANZUKA 長袖Tシャツ,"11,000",トップ / メンズ / ウェア・服 / トップス / Tシャツ / オリジナルス / ディズニー / スターウォーズ / Star Wars × adidas NANZUKA 長袖Tシャツ,メンズ,"https://shop.adidas.jp/photo/IV/IV9471/z-IV9471-on_model-standard_view-tqvFU2m69K.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","XS, S, M, L, XL, 2XL, 3XL",Star Warsがインスピレーション源の東京発限定アートTシャツ。,アーティスト、中村哲也の作品に焦点を当てたアディダスTシャツをリリース。これは、カルチャーとクリエイティビティが交錯する東京のコンテンポラリーアートギャラリー、NANZUKAとのコラボレーションから生まれた、ダース・ベイダーの抽象的なグラフィックが目を引く、ソフトなコットン製ルーズフィットTシャツ。フロントにあしらった小さなトレフォイルが、アディダスの証。,"ルーズフィット, リブ仕上げのクルーネック, 綿100%（シングルジャージー）, リブ仕上げのカフ, 商標と著作権はLucasfilm Ltd.にあります。無断複製を禁じます。",
https://shop.adidas.jp/products/IV9470/,Star Wars × adidas NANZUKA グラフィック半袖Tシャツ,"11,000",トップ / メンズ / ウェア・服 / トップス / Tシャツ / オリジナルス / ディズニー / スターウォーズ / Star Wars × adidas NANZUKA グラフィック半袖Tシャツ,メンズ,"https://shop.adidas.jp/photo/IV/IV9470/z-IV9470-on_model-standard_view-a9gWSWnprn.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","XS, S, M, L, XL, 2XL, 3XL",ジェームス・ジャービスのオリジナルアートで表現した、Star WarsグラフィックTシャツ。,主役はストームトルーパー。帝国軍の貫禄ある白いアーマーからインスピレーションを得た、フォースのパワーとスポーツブランドのアティチュードを掛け合わせたデザイン。カルチャーとクリエイティビティが交差する東京のコンテンポラリーアートギャラリー、NANZUKAが紹介するアーティスト、James Jarvis（ジェームス・ジャービス）とのコラボレーションがら生まれた限定プリントをフィーチャーしている。コットン100%のゆったりしたTシャツのフロントに、小さなトレフォイルとStar Warsロゴをあしらっている。,"ルーズフィット, リブ仕上げのクルーネック, 綿100%（シングルジャージー）, 商標と著作権はLucasfilm Ltd.にあります。無断複製を禁じます。",
https://shop.adidas.jp/products/IV9469/,Star Wars × adidas NANZUKA グラフィック半袖Tシャツ,"11,000",トップ / メンズ / ウェア・服 / トップス / Tシャツ / オリジナルス / ディズニー / スターウォーズ / Star Wars × adidas NANZUKA グラフィック半袖Tシャツ,メンズ,"https://shop.adidas.jp/photo/IV/IV9469/z-IV9469-on_model-standard_view-GbGbidAgbu.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","XS, S, M, L, XL, 2XL, 3XL",佃弘樹のオリジナルアートで表現した、Star WarsグラフィックTシャツ。,毎日のスタイルにStar Warsのファンタジーを吹き込もう。インスピレーション源は、頼りになるドロイド、R2-D2。フォースのパワーとスポーツブランドのアティチュードを掛け合わせたデザイン。カルチャーとクリエイティビティが交差する東京のコンテンポラリーアートギャラリー、NANZUKAが紹介するアーティスト、佃弘樹とコラボレーションした限定プリントをフィーチャーしている。だからこれを身に着けるだけで、何に夢中なのかがひと目でわかる。,"ルーズフィット, リブ仕上げのクルーネック, 前身頃：PET100%（インターロック）, 後ろ身頃：PET100%（トリコット）, 商標と著作権はLucasfilm Ltd.にあります。無断複製を禁じます。",
https://shop.adidas.jp/products/IE4012/,DIME ADI2000,"18,700",トップ / ユニセックス / シューズ・靴 / スニーカー / オリジナルス / ADI2000 / DIME ADI2000, オリジナルス,"https://shop.adidas.jp/photo/IE/IE4012/z-IE4012-standard-side_lateral_center_view-xd57UJvTjx.jpg, https://shop.adidas.jp/photo/IE/IE4012/z-IE4012-standard-top_portrait_view-WSpHAGU2zP.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","22.0cm, 22.5cm, 23.0cm, 23.5cm, 24.0cm, 24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm",スタイルと期待を引き上げる、adidas x Dimeシューズ。,このADI2000シューズのデザインのインスピレーション源は、2000年代初期のスケートボーディングのDNA。だからもちろん、Dimeはそれを試してみる必要があった。ボード感覚はなくても、厚みのあるラバーアウトソールに縫い付けた無数の素材パネルと、戦略的に配置されたヒールプルが、ほぼダメージを受けることのない耐久性の高さで確実にそれを補っている。他のスケーターがかかとを痛めているのを横目に、プリモを鮮やかに決められる。,"レギュラーフィット, シューレースクロージャー, スエードとキャンバスのアッパー, OrthoLite®ソックライナー, テキスタイルライニング, ラバーアウトソール",
https://shop.adidas.jp/products/IE2697/,ハーデン ボリューム 8 / Harden Volume 8,"19,800",トップ / メンズ / バスケットボール / シューズ・靴 / スポーツシューズ / ハーデン / ハーデン ボリューム 8 / Harden Volume 8,メンズ,"https://shop.adidas.jp/photo/IE/IE2697/z-IE2697-standard-side_lateral_center_view-eGmX3DwpA7.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm, 30.5cm, 31.0cm",ジェームス・ハーデンとアディダス バスケットボールが贈るシグネチャーシューズ。,ジェームス・ハーデンのようなスーパースターには、ゲームの流れを変えるだけでは不十分。大変革を起こさなければならない。これは、バスケ界の得点王の一人であり、人格者としても知られるジェームス・ハーデンを讃える、アディダス バスケットボールとのコラボレーションによるシグネチャーシューズの新作。adidas BOOSTとLightstrikeミッドソールを組み合わせた、コートに足を踏み入れる度に、ゲームを支配するのに必要なサポート力を感じられる、パフォーマンスシューズ。,"レギュラーフィット, テキスタイルアッパー, BOOSTミッドソール, Lightstrikeクッショニング, ラバーアウトソール",
https://shop.adidas.jp/products/IG4113/,タイショーン / Tyshawn,"14,300",トップ / ユニセックス / スケートボーディング / シューズ・靴 / スニーカー / オリジナルス / タイショーン / Tyshawn, オリジナルス,"https://shop.adidas.jp/photo/IG/IG4113/z-IG4113-standard-side_lateral_center_view-7E2drMqFHf.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg, https://shop.adidas.jp/static/images/tools/itemCard_dummy.jpg","22.5cm, 23.0cm, 23.5cm, 24.0cm, 24.5cm, 25.0cm, 25.5cm, 26.0cm, 26.5cm, 27.0cm, 27.5cm, 28.0cm, 28.5cm, 29.0cm, 29.5cm, 30.0cm",NYのバスケットボールスタイルをリミックスしたタイショーン。,キング・オブ・ニューヨークの名をほしいままにするタイショーンの視点を基にしたデザインと新しいツーリングで、オリジナルモデルを再構築した、リマスターバージョン。クラシックなバッシュのデザインを着想源に、ストリート向けにアレンジ。レザーアッパーとadiPRENE クッショニングをフィーチャーした、スケートボーディングで重視されるボードフィールにこだわった一足。　快適なフィット感をもたらす成型ソックライナーとメモリーフォームを採用した履き口、そして優れたボードフィールとコントロール、耐久性、衝撃吸収性をバランスよく満たす、デザインを一新したアウトソールを組み合わせた。アディダスとタイショーンが作る、スケートボーディングシューズのパフォーマンス、目立つスタイルの進化は止まらない。,"レギュラーフィット, シューレースクロージャー, レザーアッパー, テキスタイルライニング, ラバーアウトソール",
